player,club,games_played,games_started,mins,sub,goals,pass,assists,total_scoring_attempts,on_target_scoring_attempts,key_passes,expected_goals,fouls,fouls_suffered,offside,yellow_cards,total_red_cards
hamady-diop,SD,2,0,44,2,0,96.7,0,0,0,2,0,0,0,0,0
derek-dodson,DC,3,0,87,3,0,75.7,0,1,0,1,0.17,1,0,0,1
ronald-donkor,RBNY,2,0,22,2,0,50,0,0,0,0,0,0,1,0,0
chris-donovan,PHI,5,0,48,5,0,77.8,1,2,0,0,0.33,0,3,0,0
griffin-dorsey,HOU,6,6,540,0,0,82.9,1,6,0,5,0.79,8,4,0,1
carlos-joaquim-antunes-dos-santos,SD,6,6,540,0,0,89,0,0,0,0,0,0,0,0,0
souleyman-doumbia,CLT,2,2,180,0,0,87.1,0,0,0,0,0,2,1,0,0
manu-duah,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicolas-dubersarsky,ATX,3,0,15,3,0,71.4,0,0,0,0,0,0,0,0,0
erik-duenas,HOU,5,0,67,5,0,81.8,1,1,1,3,0.06,3,0,0,1
