name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
benjamin-cremaschi;MIA;22;12;1139;4;2;15;0.32;1;0;0;3.39;18;8;44.4;22.2;1;0;7
patrickson-delgado;DAL;23;14;1164;4;4;13;0.31;0;0;0;1.18;17;7;41.2;23.5;0;24;7
cristian-espinoza;SJ;34;34;2978;4;26;39;0.12;0;0;0;5;65;25;38.5;6.2;9;159;18
diego-fagundez;LA;34;19;1665;4;1;26;0.22;0;0;0;3.8;27;15;55.6;14.8;4;62;9
logan-farrington;DAL;29;10;1210;4;12;21;0.3;4;0;0;4.3;37;15;40.5;10.8;10;0;12
mohamed-farsi;CLB;27;21;1879;4;4;6;0.19;2;0;0;3.18;12;6;50;33.3;9;0;9
calvin-harris;COL;32;16;1524;4;6;14;0.24;4;0;0;4.27;24;12;50;16.7;5;0;7
lorenzo-insigne;TOR;23;17;1356;4;5;42;0.27;0;1;1;4.21;47;23;48.9;8.5;5;21;11
sebastian-kowalczyk;HOU;33;24;2153;4;9;29;0.17;1;0;0;4.3;39;14;35.9;10.3;5;17;7
david-martinez;LAFC;17;4;447;4;23;3;0.81;0;0;0;3.25;26;12;46.1;15.4;1;6;6
alexandru-irinel-matan;CLB;28;17;1439;4;1;15;0.25;0;0;0;2.46;16;10;62.5;25;1;15;7
jack-mcglynn;PHI;30;25;2313;4;51;2;0.16;0;0;0;2.24;53;20;37.7;7.5;0;17;11
martin-ojeda;ORL;34;24;1914;4;48;9;0.19;4;0;0;4.6;61;22;36.1;6.6;11;94;16
teemu-pukki;MIN;21;11;939;4;8;29;0.38;1;0;0;4.03;38;13;34.2;10.5;2;0;5
matias-rojas;MIA;14;9;804;4;18;0;0.45;0;0;0;1.52;18;9;50;22.2;0;9;7
diego-rubio;ATX;33;23;1889;4;4;20;0.19;16;0;0;4.85;40;11;27.5;10;8;0;5
