name;height;weight;date_of_birth;birthplace;position;footedness;roster_category;player_category
Giuseppe Bovalina;5' 8\";157 lbs;11.11.2004 (20);Adelaide, Australia;Defender;;;
Denis Bouanga;5' 11\";157 lbs;11.11.1994 (30);Le Mans, France;Forward;Left;Senior;Designated Player
Michael Boxall;6' 3\";209 lbs;8.18.1988 (36);Auckland, New Zealand;Defender;Right;Senior;
Yannick Bright;5' 8\";;9.3.2001 (23);Milan, Italy;Midfielder;;;
Heine Bruseth;5' 10\";;4.6.2004 (20);Gjemnes, Norway;Midfielder;;;
Lachlan Brook;5' 10\";;2.8.2001 (24);Gawler, Australia;Midfielder;;;
Gastón Brugman;5' 9\";150 lbs;9.7.1992 (32);Rosario, Uruguay;Midfielder;Right;Senior;
Javain Brown;5' 11\";174 lbs;3.9.1999 (26);Kingston, Jamaica;Defender;Right;Senior;
Tristan Brown;;;10.17.2007 (17);;Midfielder;;;
Sébastian Breza;6' 4\";192 lbs;3.15.1998 (27);Ottawa, ON, Canada;Goalkeeper;Right;Supplemental Slots 21-24;
Ola Brynhildsen;5' 9\";154 lbs;4.27.1999 (25);Bærum, Norway;Forward;;;
Luke Brennan;5' 11\";150 lbs;2.24.2005 (20);Atlanta, GA, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Andrew Brody;5' 10\";154 lbs;5.3.1995 (29);Orlando, FL, USA;Defender;;Supplemental Slots 21-24;Homegrown
Jesús Bueno;5' 10\";163 lbs;4.15.1999 (25);Barquisimeto, Venezuela;Midfielder;Right;Senior;International
Sergio Busquets;6' 2\";163 lbs;7.16.1988 (36);Badia del Vallès, Spain;Midfielder;Right;Senior;Designated Player, International
Nathan Byrne;5' 11\";185 lbs;6.5.1992 (32);St Albans, England;Defender;;Senior;
Noel Buck;5' 11\";159 lbs;4.5.2005 (20);Arlington, MA, USA;Midfielder;;Supplemental Slots 25-28;Homegrown
Pavel Bucha;5' 10\";154 lbs;3.11.1998 (27);Mělník, Czech Republic;Midfielder;;;
Dawid Bugaj;6' 0\";;7.9.2004 (20);Sosnowiec, Poland;Defender;;;
Teal Bunbury;6' 1\";192 lbs;2.27.1990 (35);Hamilton, ON, Canada;Forward;Both;Senior;
Evan Bush;6' 1\";187 lbs;3.6.1986 (39);Concord, OH, USA;Goalkeeper;;Supplemental Slots 21-24;
Roman Bürki;6' 2\";187 lbs;11.14.1990 (34);Münsingen, Switzerland;Goalkeeper;Right;Senior;
Brandon Bye;6' 0\";174 lbs;11.29.1995 (29);Portage, MI, USA;Defender;;Senior;
;;;;;;;;
Kévin Cabral;6' 1\";152 lbs;7.10.1999 (25);Paris, France;Forward;;Senior;International, Designated Player
Gustavo Caraballo;;;8.29.2008 (16);;Midfielder;;;
Wiki Carmona;5' 8\";157 lbs;2.24.2003 (22);unknown, Venezuela;Midfielder;Left;Supplemental Slots 21-24;
Antonio Juan Carrera;6' 4\";159 lbs;3.15.2004 (21);Pachuca De Soto, Mexico;Goalkeeper;;Signed;Homegrown
Felipe Carballo;5' 10\";159 lbs;10.4.1996 (28);Montevideo, Uruguay;Midfielder;Right;;
Leo Campana;6' 1\";163 lbs;7.24.2000 (24);Guayaquil, Ecuador;Forward;Left;Senior;
George Campbell;6' 2\";185 lbs;6.22.2001 (23);Chester, PA, USA;Defender;;Supplemental Slots 25-28;Homegrown
Reggie Cannon;5' 11\";163 lbs;6.11.1998 (26);Chicago, IL, USA;Defender;;;
Drake Callender;6' 3\";194 lbs;10.7.1997 (27);Sacramento, CA, USA;Goalkeeper;Right;Senior;Homegrown
Maxime Chanot;6' 1\";172 lbs;11.21.1989 (35);Nancy, France;Defender;;Senior;
Julio Cascante;6' 1\";165 lbs;10.3.1993 (31);Puerto Limón, Costa Rica;Defender;Right;Senior;
Jacob Castro;6' 4\";190 lbs;12.18.1999 (25);Tukwila, WA, USA;Goalkeeper;;Supplemental Slots 25-28;Homegrown
Dylan Chambost;5' 10\";154 lbs;8.19.1997 (27);Annecy, France;Midfielder;Left;Senior;International
Nico Cavallo;;;12.27.2001 (23);Richmond, VA, USA;Defender;;;
Austin Causey;6' 1\";174 lbs;8.20.2001 (23);Concord, USA;Goalkeeper;;;
Brayan Ceballos;6' 0\";161 lbs;5.24.2001 (23);Santiago de Cali, Colombia;Defender;;;
Edwin Cerrillo;5' 9\";174 lbs;10.3.2000 (24);Waco, TX, USA;Midfielder;;Senior;Homegrown
Roman Celentano;6' 3\";201 lbs;9.14.2000 (24);Naperville, IL, USA;Goalkeeper;;Supplemental Slots 21-24;Generation adidas
Máximo Carrizo;;;2.28.2008 (17);New York City, NY, USA;Midfielder;;Signed;Homegrown
Yevhen Cheberko;6' 0\";146 lbs;1.23.1998 (27);Melitopol, Ukraine;Defender;Left;Senior;International
Noah Cobb;6' 1\";165 lbs;7.20.2005 (19);Chattanooga, TN, USA;Defender;;Supplemental Slots 29-30;Homegrown
Josh Cohen;6' 1\";174 lbs;8.18.1992 (32);Mountain View, CA, USA;Goalkeeper;Left;;
Dominik Chong Qui;;;12.29.2007 (17);;Defender;;;
Caden Clark;5' 11\";161 lbs;5.27.2003 (21);Medina, MN, USA;Midfielder;;Senior;
Alonso Coello;6' 1\";181 lbs;10.12.1999 (25);Madrid, Spain;Midfielder;;Supplemental Slots 25-28;International
Stefan Chirila;;;1.15.2007 (18);Allentown, PA, USA;Forward;;;
Markus Cimermancic;;;10.1.2004 (20);Kitchener, Ontario, Canada;Midfielder;;;
