name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
deandre-yedlin;CIN;28;25;2195;924;1093;84.5;20;0;2;3;0.12;42;235;16.67;17
hassani-dotson;MIN;29;26;2253;922;1098;84;23;1;4;4;0.16;40;257;21.05;15
ryan-hollingshead;LAFC;31;25;2209;915;1099;83.3;31;0;3;4;0.16;37;203;21.43;16
john-tolkin;RBNY;28;27;2389;910;1128;80.7;55;102;41;1;0.04;59;248;28.28;65
guilherme-biro;ATX;31;26;2286;907;1081;83.9;16;1;9;0;0;41;301;26.47;31
julian-gressel;MIA;32;31;2366;904;1071;84.4;43;56;33;12;0.46;38;294;39.29;19
diego-luna;RSL;31;26;2219;904;1055;85.7;52;46;10;12;0.49;27;304;22.22;31
alessandro-schopf;VAN;30;23;1950;901;987;91.3;20;0;7;3;0.14;26;259;46.67;14
luca-orellano;CIN;33;30;2663;899;1144;78.6;56;43;33;7;0.24;28;355;33.67;49
nathan-dylan-saliba;MTL;24;18;1650;896;1011;88.6;9;1;2;1;0.05;23;325;40;12
gaston-brugman;LA;22;12;1183;893;982;90.9;14;2;1;5;0.38;31;319;25;36
diego-rossi;CLB;34;30;2631;890;1023;87;52;114;35;11;0.38;5;398;30.43;29
henry-kessler;NE;17;15;1386;886;984;90;2;0;0;0;0;31;106;0;33
robin-lod;MIN;32;28;2396;886;1040;85.2;51;24;10;15;0.56;14;275;23.81;12
matt-miazga;CIN;16;16;1414;883;1014;87.1;1;0;0;0;0;61;99;0;39
robert-voloder;SKC;21;19;1759;882;1034;85.3;3;0;0;1;0.05;53;140;0;11
dylan-nealis;RBNY;30;25;2331;881;1110;79.4;33;0;8;4;0.15;50;245;33.33;51
ryan-gauld;VAN;30;28;2463;877;1060;82.7;86;91;52;15;0.55;36;255;40;42
miguel-tapias;MIN;25;23;2087;877;1036;84.7;7;1;1;1;0.04;76;90;50;34
matt-freese;NYC;34;34;2982;876;1132;77.4;1;0;0;0;0;42;73;0;78
federico-bernardeschi;TOR;29;28;2465;870;1080;80.6;56;76;35;8;0.29;50;317;29.41;61
mohamed-farsi;CLB;27;21;1879;867;964;89.9;29;0;14;5;0.24;15;347;45.16;17
brian-gutierrez;CHI;32;26;2376;866;1063;81.5;44;14;12;3;0.11;29;367;34.29;16
anibal-godoy;NSH;23;17;1499;861;951;90.5;14;0;0;4;0.24;31;219;0;32
djordje-mihailovic;COL;29;29;2480;861;1044;82.5;88;126;55;14;0.51;35;259;34.59;103
cristian-espinoza;SJ;34;34;2978;859;1128;76.2;94;159;77;14;0.42;24;277;28;52
griffin-dorsey;HOU;32;31;2659;857;1023;83.8;38;0;18;4;0.14;25;202;18.75;8
dagur-thorhallsson;ORL;31;29;2412;857;1026;83.5;25;0;8;4;0.15;13;313;32;12
josh-bauer;NSH;26;19;1859;856;975;87.8;2;0;2;0;0;28;184;33.33;21
fabian-herbers;CHI;30;24;2038;849;970;87.5;30;0;8;5;0.22;24;341;36.36;8
joseph-rosales;MIN;30;26;2407;846;1098;77;61;114;51;11;0.41;39;267;31.68;47
christopher-mcvey;DC;27;26;2148;843;1006;83.8;5;0;1;0;0;58;146;100;9
erik-thommy;SKC;30;26;2328;838;968;86.6;43;40;19;4;0.15;23;308;22.89;28
daniel-gazdag;PHI;30;28;2500;835;1000;83.5;35;2;3;3;0.11;12;304;30;5
jon-gallagher;ATX;32;30;2664;832;1013;82.1;27;0;19;3;0.1;34;228;32.76;19
jere-uronen;CLT;26;24;2133;831;975;85.2;21;32;23;5;0.21;27;248;31.08;23
marco-farfan;DAL;26;23;2033;828;917;90.3;7;2;4;1;0.04;21;233;28.57;28
marcelo-weigandt;MIA;23;22;1997;827;954;86.7;21;0;10;3;0.14;19;271;29.41;9
bode-hidalgo;RSL;25;15;1453;826;954;86.6;19;8;7;1;0.06;37;197;31.82;33
maximilian-arfsten;CLB;31;23;1973;824;943;87.4;32;5;15;8;0.36;16;286;25.42;7
mathieu-choiniere;MTL;17;17;1499;810;917;88.3;22;47;15;3;0.18;16;333;35.71;32
thiago-almada;ATL;17;16;1393;808;958;84.3;45;47;16;2;0.13;43;314;28.57;60
jonathan-sirois;MTL;33;33;2970;806;1044;77.2;0;0;0;0;0;56;159;0;64
mateusz-bogusz;LAFC;32;31;2626;804;947;84.9;66;81;37;7;0.24;19;238;35.92;18
tim-parker;STL;21;20;1790;797;917;86.9;6;0;0;0;0;29;127;0;50
sebastian-driussi;ATX;27;26;2262;795;961;82.7;28;3;8;3;0.12;42;236;32;35
stian-gregersen;ATL;23;20;1765;795;899;88.4;3;0;0;0;0;29;168;0;12
maxime-chanot;LAFC;23;15;1327;794;866;91.7;4;0;1;2;0.14;28;107;100;29
brad-guzan;ATL;32;32;2850;793;1074;73.8;2;0;0;1;0.03;178;54;0;77
eddie-segura;LAFC;27;12;1338;791;883;89.6;7;0;0;1;0.07;28;137;0;28
julian-aude;LA;25;21;1700;788;908;86.8;9;0;1;2;0.11;28;238;10;10
kristijan-kahlina;CLT;34;34;3060;784;1025;76.5;0;0;0;0;0;86;83;0;68
allan-arigoni;CHI;28;25;2098;779;943;82.6;13;0;5;0;0;18;294;15.15;12
chris-durkin;STL;28;26;2261;774;984;78.7;23;1;5;3;0.12;44;221;31.25;14
jonathan-osorio;TOR;22;21;1853;774;850;91.1;28;14;3;3;0.15;5;336;21.43;32
caleb-wiley;ATL;21;21;1885;774;912;84.9;28;0;10;1;0.05;25;289;37.04;18
david-ayala;POR;30;19;1472;771;872;88.4;15;0;2;1;0.06;67;161;66.67;18
paul-arriola;DAL;31;28;2460;768;957;80.3;34;2;13;7;0.26;35;265;31.71;16
ian-harkes;NE;27;17;1609;768;872;88.1;19;3;4;4;0.22;23;231;33.33;10
jesus-david-murillo;LAFC;22;19;1693;766;893;85.8;4;0;1;0;0;48;87;100;21
federico-redondo;MIA;16;14;1121;761;843;90.3;11;0;1;3;0.24;17;244;50;15
matti-peltola;DC;31;24;2219;753;888;84.8;13;1;1;0;0;31;162;100;17
hannes-wolf;NYC;34;32;2582;751;920;81.6;65;41;15;8;0.28;5;363;34.09;13
nathan-harriel;PHI;29;27;2375;749;892;84;25;0;6;3;0.11;8;251;25;2
sigurd-rosted;TOR;25;19;1755;749;879;85.2;7;0;2;0;0;25;214;20;12
liam-fraser;DAL;18;17;1386;747;859;87;4;0;0;2;0.13;44;248;0;17
sebastian-kowalczyk;HOU;33;24;2153;745;864;86.2;24;17;4;3;0.13;10;275;16.67;10
drake-callender;MIA;32;32;2880;741;942;78.7;0;0;0;0;0;75;102;0;38
mark-anthony-kaye;NE;21;15;1392;741;841;88.1;15;0;1;0;0;34;165;25;22
matt-crooks;RSL;29;23;1895;740;853;86.8;27;1;1;5;0.24;19;269;50;11
martin-ojeda;ORL;34;24;1914;740;876;84.5;58;94;52;12;0.56;31;285;32.5;53
alexandros-katranis;RSL;29;23;2002;738;916;80.6;25;25;18;5;0.22;32;225;21.43;15
alexandru-irinel-matan;CLB;28;17;1439;737;806;91.4;22;15;6;3;0.19;11;305;30;17
