name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
anderson-conceicao;PHI;1;1;90;2;4;50;6;0;4
pedro-ribeiro;ORL;3;1;152;2;9;55.6;0;6;4
jose-escalante;HOU;3;1;109;2;0;0;0;1;1
derrick-etienne-jr;RBNY;1;0;4;2;0;0;0;0;0
kyle-fisher;MTL;2;2;180;2;8;62.5;5;1;4
deybi-flores;VAN;1;1;45;2;0;0;1;3;1
matt-jones;PHI;1;1;90;2;1;100;1;0;0
phanuel-kavita;RSL;1;1;90;2;1;100;1;0;2
emil-larsen;CLB;3;0;31;2;1;0;0;0;0
tyler-miller;SEA;1;1;90;2;1;0;1;0;0
boyd-okwuonu;RSL;2;1;92;2;2;50;4;0;2
cole-seiler;VAN;2;2;180;2;6;50;6;5;3
erick-torres;HOU;11;4;401;2;22;31.8;0;9;2
tyler-adams;RBNY;1;1;45;1;4;75;0;0;4
mehdi-ballouchy;NYC;4;1;145;1;2;50;2;2;1
marco-bustos;VAN;3;1;63;1;1;100;0;2;0
dennis-castillo;COL;4;1;123;1;7;57.1;7;3;4
coy-craft;DAL;2;0;17;1;1;0;0;0;0
michael-farfan;SEA;1;0;26;1;0;0;0;1;0
collin-fernandez;CHI;2;0;8;1;0;0;0;0;1
clarence-goodson;SJ;2;2;180;1;7;71.4;11;3;4
aaron-guillen;DAL;2;1;106;1;3;33.3;5;3;3
adam-jahn;SJ;10;0;95;1;17;29.4;0;3;1
eirik-johansen;NYC;1;1;90;1;0;0;4;0;0
darwin-jones;SEA;2;0;22;1;0;0;0;1;0
justin-mapp;SKC;6;0;43;1;0;0;0;0;0
jack-mcbean;LA;2;1;99;1;12;25;1;2;1
alex-morrell;CHI;4;0;52;1;3;0;1;0;0
patrick-mullins;NYC;7;2;230;1;14;71.4;10;8;2
steve-neumann;NE;4;1;62;1;2;100;1;0;1
amobi-okugo;POR;4;2;226;1;3;66.7;10;5;4
daniel-royer;RBNY;6;3;275;1;14;42.9;2;1;4
dillon-serna;COL;9;3;280;1;7;14.3;7;4;8
ben-swanson;CLB;1;0;16;1;0;0;0;0;0
andrew-tarbell;SJ;1;0;45;1;0;0;2;0;0
amro-tarek;CLB;1;0;2;0;0;0;0;0;1
danilo-acosta;RSL;0;0;0;0;0;0;0;0;0
brandon-allen;RBNY;1;0;7;0;0;0;0;0;0
bernardo-anor;SKC;0;0;0;0;0;0;0;0;0
emmanuel-appiah;COL;0;0;0;0;0;0;0;0;0
yair-arboleda;HOU;1;1;62;0;0;0;0;0;1
victor-arboleda;POR;0;0;0;0;0;0;0;0;0
gbenga-arokoyo;POR;1;0;23;0;0;0;0;0;0
pedro-baez;RSL;1;0;5;0;1;0;0;0;0
adam-bedell;CLB;0;0;0;0;0;0;0;0;0
john-berner;COL;0;0;0;0;0;0;0;0;0
bradley-bourgeois;HOU;0;0;0;0;0;0;0;0;0
connor-brandt;NYC;0;0;0;0;0;0;0;0;0
neco-brett;POR;1;0;1;0;0;0;0;0;0
andrew-brody;RSL;0;0;0;0;0;0;0;0;0
calle-brown;HOU;0;0;0;0;0;0;0;0;0
sergio-camargo;TOR;0;0;0;0;0;0;0;0;0
marco-carducci;VAN;0;0;0;0;0;0;0;0;0
zach-carroll;RBNY;0;0;0;0;0;0;0;0;0
robert-casner;HOU;0;0;0;0;0;0;0;0;0
;ORL;0;0;0;0;0;0;0;0;0
drew-conner;CHI;0;0;0;0;0;0;0;0;0
;LA;0;0;0;0;0;0;0;0;0
maxime-crepeau;MTL;0;0;0;0;0;0;0;0;0
cody-cropper;NE;1;1;90;0;0;0;1;0;0
omer-damari;RBNY;4;0;79;0;1;100;0;3;1
;VAN;0;0;0;0;0;0;0;0;0
christian-dean;VAN;0;0;0;0;0;0;0;0;0
conor-donovan;ORL;0;0;0;0;0;0;0;0;0
patrick-doody;CHI;0;0;0;0;0;0;0;0;0
conor-doyle;COL;3;0;23;0;1;0;1;3;0
chris-durkin;DC;0;0;0;0;0;0;0;0;0
maurice-edu;PHI;0;0;0;0;0;0;0;0;0
raheem-edwards;TOR;1;0;2;0;1;0;0;0;0
earl-edwards-jr;ORL;0;0;0;0;0;0;0;0;0
marco-farfan;POR;0;0;0;0;0;0;0;0;0
lalo-fernandez;RSL;0;0;0;0;0;0;0;0;0
jesus-ferreira;DAL;0;0;0;0;0;0;0;0;0
chris-froschauer;COL;0;0;0;0;0;0;0;0;0
jeremy-gagnon-lapare;MTL;0;0;0;0;0;0;0;0;0
michael-gamble;NE;0;0;0;0;0;0;0;0;0
kevin-garcia;HOU;0;0;0;0;0;0;0;0;0
devron-garcia;ORL;0;0;0;0;0;0;0;0;0
shannon-gomez;NYC;0;0;0;0;0;0;0;0;0
;SKC;0;0;0;0;0;0;0;0;0
joseph-greenspan;COL;1;0;1;0;1;100;0;0;0
kyle-greig;VAN;0;0;0;0;0;0;0;0;0
tally-hall;DC;0;0;0;0;0;0;0;0;0
markus-halsti;DC;0;0;0;0;0;0;0;0;0
wade-hamilton;POR;0;0;0;0;0;0;0;0;0
ryan-herman;DAL;0;0;0;0;0;0;0;0;0
moises-hernandez;DAL;0;0;0;0;0;0;0;0;0
marshall-hollingsworth;CLB;0;0;0;0;0;0;0;0;0
charlie-horton;DC;0;0;0;0;0;0;0;0;0
taylor-hunter;HOU;0;0;0;0;0;0;0;0;0
sebastien-ibeagha;HOU;0;0;0;0;0;0;0;0;0
callum-irving;HOU;0;0;0;0;0;0;0;0;0
andrew-jacobson;NYC;0;0;0;0;0;0;0;0;0
